Cisco Discovery Protocol (CDP),"Cisco proprietary Layer 2 protocol that used to gather information about directly connected Cisco neighbour device. CDP ads R sent occasionally, which contains info about device(s) discovered,  device name & number + type of interface on device."
Cloud Models (Types of clouds),"<table><thead><th>Public Cloud</th><th>Private Cloud</th><th>Hybrid Cloud</th><th>Community Cloud</th></thead><tbody><tr><td>Provides services and applications to the general population. Services may be free or offered on a pay-per-use model, such as online storage.</td><td>Provides services and applications to a specific organization and may be set up within the private organization or managed by an outside organization.</td><td>Made up of two or more clouds, where each part remains a separate object, but both are connected using a single architecture. People have diff access based on user rights.</td><td>Created for exclusive use by a specific community. Difference with public clouds is that it has been customized for the community.</td></tr></tbody>"
Collision Domain,"Only when half duplex is used. Collision happens on half duplex side. Hub increases collision domain, while switches, routers and bridges divide collision domains. To alleviate network congestion due to collisions, use a high port density switch (see Alleviate Network Congestion)"
Configure SSH,"1 - Verify SSH support by using show ip ssh. 2 - Config IP domain by using ip domain-name <domain name>. 3 - Generate RSA key pairs by using cypto key generate rsa. 4 - Config user authentication by using username <username> secret <password>. 5 - Config vty lines by going to vty config using line vty 0 15 then type transport input ssh, then login local."
Configuring a router as a DHCP client ,"Enter the interface to configure, then type ip address dhcp"
Create/Configure ,"For VLAN, go to VLAN Creation. For others, check the bottom. For steps before creating WLAN, see Before creating WLAN."
Cut-Through Switching,"Can do rapid frame switching and has lower latency than Store-and-Forward switching. Once the destination MAC address of the frame has been looked up, forwarding decisions can be made. However due to no FCS check, invalid frames may be forwarded."
Data formats (JSON XML YAML),"The common data formats that are used in many applications including network automation and programmability are as follows:<ul><li><b>JavaScript Object Notation (JSON)</b> - In JSON, the data known as an object is one or more key/value pairs enclosed in braces { }. Keys must be strings within double quotation marks "" "". Keys and values are separated by a colon.</li><li><b>eXtensible Markup Language (XML)</b> - In XML, the data is enclosed within a related set of tags <tag>data</tag>.</li><li><b>YAML Ain't Markup Language (YAML)</b> - A superset of JSON. In YAML, the data known as an object is one or more key value pairs. Key value pairs are separated by a colon without the use of quotation marks. YAML uses indentation to define its structure, without the use of brackets or commas.</li></ul><br>Related questions:<i><ul><li>Discuss the three data formats covered in class and their readability attributes.</li><li>What is YAML?</li></ul></i>"
Designated Port ,"When There is a Root Port If one end of a segment is a root port, then the other end is a designated port."
Designated Port When There is No Root Port ,Leaves segments between two switches where both switches is not the root bridge. Theport on the switch with the least-cost path to the root bridge is the designated port.
Designated Ports on Root Bridge ,All ports on the root bridge are designated ports. This is because the root bridge has the lowest cost to itself.
DHCP Client Boot Up ,A DHCP enabled client PC will send two broadcast messages - DHCPDISCOVER and DHCPREQUEST (see DHCPv4 Operation)
DHCP message types ,DHCPACK - the DHCP server confirming that the address lease has been accepted. DHCPREQUEST - The client accepting the IP address provided by the DHCP server. DHCPDISCOVER - Client initiating message to find a DHCP server. DHCPOFFER - DHCP responding to the initial request by a client.
DHCP Port Number ,67 and 68 (if there's only 1 option select 67)
DHCP Starvation Attack,"Legitimate users will not be able to get valid IP addresses, Layer 2 attack."
DHCPv4 Operation ,Client sends Discover broadcast to find a DHCP server (DHCPDISCOVER) > Server responds init. request and sends Offer (DHCPOFFER) > Client accepts and sends Request (DHCPREQUEST) > Server confirms lease and sends DHCP Acknowledgement (DHCPACK)
DHCPv4 Relay ,"In the interface to the network, type ip helper-address <ip address of DHCP server>. Verify using show ip interface."
DHCPv6 Relay ,"In the interface to the network, type ipv6 dhcp relay destination ipv6-address [interface]. To verify, type show ipv6 dhcp interface."
DHCPv6 Server Types ,Stateless - Enabled in RA messages with the ipv6 nd other-config-flag command. Clients send only DHCPv6 INFORMATION REQUEST msgs. Enabled on client using ipv6 address autoconfig command.
DHCPv6 Server Types ,"Stateful - M flag is 1 in RA msgs, uses address command to create pool of addresses, enabled on client using ipv6 address dhcp"
Disable DTP ,On links where trunking is not intended and when a Cisco switch is connected to a non-Cisco switch. See nonegotiate.
DTP (Dynamic Trunking Protocol) ,"Only on Cisco switches, used to auto negotiate trunking with another device. Links dynamically attempt trunking. Do not use for non-Cisco switches."
DTP modes ,Dynamic desirable: Actively attempts to convert link to trunk; Dynamic auto: Waits for neighbour to initiate trunking; 
Duplex ,"If one side is full & other is half, late collision occurs on the half side. To config full duplex, use duplex full in interface config."
Election of Designated Ports (STP),All ports on the root bridge are designated ports. This is because the root bridge has the lowest cost to itself.
Election of Root Bridge (STP),"Switch with the lowest bridge ID (see Bridge ID Components) becomes root bridge. If two BIDs are the same, switch with lowest MAC address will win."
Election of Root Ports (STP),Root port is selected based on the lowest overall cost (best path) to the root bridge. See Root Path Cost for calculating cost.
Enable BPDU guard,(config)#spanning-tree portfast bpduguard default     OR     (config-if)#spanning-tree bpduguard enable
Endpoint Security Solutions,REDIRECT:Which three Cisco products focus on endpoint security solutions
EtherChannel ,Combines multiple physical links into a single logical link between two switches.
EtherChannel Advantages,"No need for spanning tree recalculation when link goes down, no need to upgrade links to increase bandwidth, config can be done on the EtherChannel interface."
EtherChannel Load-balancing ,"Source to Destination IP, source to destination MAC."
EtherChannel Requirements ,"All ports need to be the same speed, duplex, VLAN info like native and allowed VLANs, and trunking mode."
EtherChannel Types ,"PAgP - Cisco Prop., can have max 8 active links. States - (See PAgP States). LACP - IEEE spec, can have max 8 active links, 8 standby links. States - (See LCAP States)"
Exclude IPs from DHCP pool ,ip dhcp excluded-address <start ip address> [end ip address range (optional)]
First Hop Redundancy Protocols (FHRP) ,"HSRP - Cisco prop., failover of first hop IPv4 device. (See HSRP for more info) HSRP for IPv6 - Same as HSRP but for IPv6. HSRP group has virtual MAC addr. derived from HSRP grp num and also virtual IPv6 link-local address. Periodic RAs are sent when HSRP grp is active. VRRPv2 - IPv4, one router is elected as master, rest are backups. VRRPv3 - Added support for IPv6. GLBP - Cisco Prop., allows load balancing. GLBP for IPv6 - Same thing but for IPv6. IRDP - Legacy, hosts locate routers that provide connectivity to other networks."
FlexConnect,"FlexConnect is a wireless solution for branch and remote office deployments, and allows you to control access points in a branch office from the corporate office through a WAN link, without deploying a controller in each office.<br><br><b>Connected mode</b> - WLC is reachable, FlexConnect AP has CAPWAP connectivity with its WLC and can send traffic through CAPWAP tunnel.<br><b>Standalone mode</b> - WLC in unreachable. FlexConnect AP can assume some of the WLC functions like switching client data locally and client authentication locally."
"For a data center, what is the difference in the server virtualization data traffic compared with the traditional client-server model?",There are significant data exchanges between virtual servers.
Frame Check Sequence (FCS),The switch checks the last field of the datagram against its own FCS calculations. FCS checks for errors to ensure the frame is free of physical and data link errors.
Hello Message,"Part of HSRP. Hello messages are sent every 3 seconds by default. If no hello message is received for 10 seconds, the standby router will become the active one."
Hot Standby Router Protocol (HSRP) ,Transparent failover of first hope device; router. Used within a grp of routers for selecting active device and standby device for gateway services to a LAN.
How does virtualization help with disaster recovery within a data center?,Support of live migration
HSRP,"Cisco Proprietary Protocol. Uses active and standby routers. By default, device with the highest IPv4 addr is elected as the active router, except if a HSRP priority value is set. Priority is 100 by default, highest priority becomes active router. Active router sends Hello Messages every 3 seconds by default. Standby router becomes active one after 10 seconds if no hello message is received. No load balancing."
HSRP States,"Initial - First state after config change or when interface first becomes available. Learn - Router has not determined the virtual IP addr and has not seen hello messages from the active router. It will be waiting for messages from the active router. Listen - The router knows the virtual IP addr, but the router is neither the active router nor the standby router. It listens for hello messages from those routers. Speak - The router sends periodic hello messages and actively participates in the election of the active and/or standby router. Standby - The router is a candidate to become the next active router and sends periodic hello messages. Active - The router won the election."
Hypervisor,<b>Functions of Hypervisors</b><ul><li>To manage virtual machines</li><li>To allocate physical system resources to virtual machines</li></ul><br>The hypervisor does not protect the hosting OS from malware. Neither does it allow sharing software across virtual machines. The hard drive of the supporting computer does not need to be partitioned to run virtual machines. The hypervisor creates and manages virtual machines on a host computer and allocates physical system resources to them.
IEEE 802.1Q ,"For VLAN tag field, go to VLAN tag field. For untagged frames, go to VLAN types - native. "
Interfaces missing in VLAN assignments,REDIRECT:Trunking
ip arp inspection validate src-mac (DAI),Checks source MAC in Ethernet header against sender MAC in ARP body.
IP Routing ,"To allow inter-VLAN routing on a Layer 3 switch, run the ip routing command in the global config. "
IPv4 Loopback Interface,A logical interface internal to the router. It is always in an UP state as long as the device is functioning properly.
IPv6 SLACC Default Gateway ,link-local address of the router interface in the network.
LACP,"IEEE 802.3ad (NOT Cisco Proprietary), for LACP modes, see LACP States."
LACP States ,"On - Force channel without LACP exchange. Active - Active negotiation state, port init. negotiations by sending LACP packets. Passive - Passive negotiation state, port receives & responds but does not initiate LACP negotiation. (On-On, Active-Active, Active-Passive)"
Link Aggregation Protocols,REDIRECT:EtherChannel Types
Link Layer Discovery Protocol (LLDP),"Vendor-neutral neighbor discovery protocol like CDP, allows 3rd party network devices. Advertises its identity and capabilities to devices and receives info from a physically connected Layer 2 device."
Local AAA,Ideal for small networks where the username and password is stored in the router.
Lower sender port priority ,"Default port priority is 128. If 1 switch’s port were configured with a lower port priority, other switch’s port in forwarding state. The other port on S4 would be a blocking state, prevent loop."
Lowest overall cost to root bridge ,REDIRECT:Root Port Election
MAC addr table full,Switch will treat all frames as unknown unicast and flood all incoming frames to all ports in the local VLAN.
Management Frames,"For management frames by AP, see AP Broadcast Frames."
Management Interface Creation (only on the management device) ,"In global config, type interface vlan <vlan id>, then ip add <ip addr> <subnet>, no shutdown, then go back to global config,and type ip default-gateway <ip addr>"
MIB Object ID,"Object IDentifiers (OID) uniquely identify managed objects in a MIB hierarchy. OIDs belonging to Cisco, are numbered as follows: .iso (1).org (3).dod (6).internet (1).private (4).enterprises (1).cisco (9). Therefore, the OID is 1.3.6.1.4.1.9."
Min. Ethernet Frame Size ,64 bytes (any lower is treated as collision fragments/runt frames & discarded)
Mitigate VLAN attacks,"Enable trunking manually, disable DTP, set native VLAN to unused VLAN."
mls qos trust cos ,"Sets the trusted state of an interface, such as voice."
Multiple equal-cost paths  ,"When a switch has multiple equal-cost paths to the root bridge, root bridge is chosen using Lowest sender BID, Lowest sender port priority, Lowest sender port ID."
Native VLAN,REDIRECT:VLAN Types
Network Time Protocol (NTP),A protocol that allows network devices to synchronize their time with an NTP server. NTP uses UDP port 123 and is documented in RFC 1305. End Device needs an IP or cannot connect to NTP server
no switchport ,Converts a port into a routed port.
no switchport access vlan <vlan no.>,"When the command no switchport access vlan <vlan id> command is issued, the interface associated with that VLAN returns to VLAN 1."
no switchport trunk native vlan ,Reset native vlan of trunk.
Nonegotiate ,Requires manual config of trunking or nontrunking. Trunk: Permanent trunking mode. switchport nonegotiate
NTP networks,"Use a hierarchical system of time sources. Each level is called a stratum. Stratum level is defined as the number of hop counts from the authoritative source. The synchronized time is distributed across the network by using NTP.<br><table><thead><th>Stratum Level</th><th>Description</th></thead><tbody><tr><td>0</td><td>No delay, non-network high precision timekeeping devices. Eg, Atomic & GPS clocks. Most accurate authoritative time sources.</td></tr><tr><td>1</td><td>Network devices that R directly connected to Auth time sources. Acts as the primary network time standard to stratum 2 devices using NTP.</td></tr><tr><td>2 and below</td><td>Stratum 2 servers R connected to Stratum 1 devices through network connections. Stratum 2 devices, such as NTP clients, synchronize their time by using the NTP packets from Stratum 1 servers. They can also act as servers for Stratum 3 devices.</td></tr></tbody></table>The max hop count is 15. Stratum 16 = unsynchronized.<br>Time servers on same stratum level can be configured to act as a peer with other time servers on the same stratum level for backup or verification of time."
PAgP,"Cisco Proprietary Protocol. PAgP packets are sent between EtherChannel-capable ports to negotiate the forming of a channel. For PAgP modes, see PAgP States."
PAgP States ,"On - Force channel without PAgP exchanges. Desirable - Active negotiating state, initiates negotiations by sending PAgP packets. Auto - Passive negotiation state, receives & responds but does not initiate PAgP negotiation. (On-On, Desire-Desire, Desire-Auto)"
Port Security Violation,"shutdown (Default) - Port goes to error-disabled state, port LED off, send syslog msg, incr. violation counter. Admin must manually shut and no shut. restrict - Drop packets until no. of secure mac addr decreases below max value or max value is increased. Sends syslog msg and incr. violation counter. protect - Least secure, same as restrict except no syslog msg and no violation counter increase.<br>Check using <samp>show port-security <int></samp>"
Port States,"Blocking, Listening, Learning, Forwarding, Disabled. Blocking - Only receives BPDU, no MAC addr table updates, no forwarding data frames. Listening - Receives and sends BPDU, no MAC addr table updates, no forwarding data frames. Learning - Receives and sends BPDU, MAC addr table updates, no forwarding data frames. Forwarding - Receives and sends BPDU, MAC addr table updates, forwarding data frames. Disabled - Everything no"
QoS,Quality of Service. Prioritise time-sensitive traffic types like voice and video over other types like email.
RADIUS,Remote Authentication Dial-In User Service (RADIUS) is a protocol and server software that provides user-based authentication for an organization. Users in a WLAN will enter username and password credentials that are verified by the RADIUS server before allowing access to the WLAN.
Remove only 1/all vlan from switch ,See vlan deletion.
RESTful operations corresponding to HTTP methods,RESTful operations correspond to the following HTTP methods (shown to the left with the RESTful operation on the right):<ul><li>POST > Create</li><li>GET > Read</li><li>PUT/PATCH > Update</li><li>DELETE > Delete</li></ul><br><i>Answer for: Which RESTFul operation corresponds to the HTTP GET method?</i>
Root Bridge,A single switch which is used as a reference point for all path calculations. The root bridge is selected in an election process. (See Election of Root Bridge (STP))
Root Path Cost (STP),"STP: 10 Mbps - 100, 100 Mbps - 19, 1 Gbps - 4, 10 Gbps - 2; RSTP: 10 Mbps - 2,000,000, 100 Mbps - 200,000, 1 Gbps - 20,000, 10 Gbps - 2,000"
Root Port Election ,"The root port is the port closest to the root bridge in terms of overall cost (best path) to the root bridge. Paths with the lowest cost become preferred, and all other redundant paths are blocked"
Routed Ports ,"Ports on a Layer 3 switch that are used for routing. For configuration, see no switchport."
Router-on-a-Stick ,"Where a router is being used to route traffic between vlans, and one connection between a router & switch serves all of the vlans. The interface on the router will have subinterfaces which connect to each vlan. To connect to a switch, you need to use trunking."
Router-on-a-Stick Configuration ,"Create the vlans (see VLAN creation), create mgmnt interface (see Management Interface Creation), configure access ports, configure trunking ports (see Trunking commands), then configure the subinterface & IP address (see Subinterface Configuration)."
Router-on-a-Stick Disadvantages ,Requires an extra router; Does not scale well beyond 50 VLANs due to network congestion.
Security for Wireless RTR,"Upon powering up, change default username and password of the wireless router."
Shared secret password,Used to encrypt messages between the WLC and RADIUS server.
show cdp neighbors detail vs show cdp neighbors,<b>What info can be gathered from show cdp neighbors detail that cannot be found with show cdp neighbors?</b><br>IP address of neighbor.
show ip dhcp binding ,Shows IPv4 addresses and assigned to hosts by DHCP server along with their MAC addresses.
show ip interface brief ,Displays the IP configuration of switch ports.
Show SSH info,Use the command show ip ssh in priviledged mode.
show vlan brief ,Displays VLAN assignment & membership for all switch ports.
shutdown/no shutdown ,Disables/Enables a virtual or physical switch interface respectively.
SNMP Trap Messages,Unsolicited messages alerting the SNMP manager to a condition or event on the network such as a link being down. Trap-directed notifications reduce network and agent resources by eliminating the need for some of SNMP polling requests.
Spanning Tree Algorithm (STA) ,Select root bridge > Block redundant path > Loop free topography > Link failure = recalculate path.
Spanning Tree Protocol (STP) ,Prevent L2 loops which can result in broadcast storms by disabling redundant paths. Can calculate best path when there is a failure. No STP = Endless loop of frames + high CPU utilization n MAC address table instability. 
SSH (Secure Shell) ,Pretty much the same as Telnet but SSH has encryption so more secure.
SSH/Telnet Configuration ,"In the vty lines, enter transport input all / transport input ssh / transport input telnet."
Store-and-Forward Switching,"Two characteristics: Error checking and Automatic buffering. Error checking does a frame check sequence (FCS) after receiving the whole frame. If the frame has no errors, it Is forwarded. Otherwise, it is dropped. Automatic Buffering allows flexibility for different Ethernet speeds."
STP Types ,"<b>STP</b> - Original IEEE version, assumes 1 spanning tree regardless of VLANs. <b>PVST+</b> - Cisco enhancement of STP, provides separate tree instance for each VLAN, supports PortFast, UplinkFast, BackboneFast, BPU guard & filter, root and loop guards. RSTP - Faster upgrade of STP. <b>Rapid PVST+</b> - Cisco enhancement  of RSTP, each separate tree insurance supports the services above in PVST+. <b>MSTP</b> - IEEE standard, maps multiple VLANs to same spanning tree instance. <b>MST</b> - Same physical and logical topology as MSTP, provides 16 instances of RSTP and combines many VLANs into the same physical and logical topology as RSTP instance. Supports services like PVST+ above."
Subinterface Configuration ,"In the subinterface config (e.g. interface G0/0/1.10 for vlan 10), type encapsulation dot1Q <vlan id>, then type ip add <ip addr> <subnet mask>. (Good to put description too)"
SVI inter-vlan routing benefits ,"Faster switching of packets, and there is no need for a connection to a router."
Switch Boot Up Sequence,<ol><li>Switch loads and executes Power-On-Self-Test (POST)</li><li>Switch loads boot loader software.</li><li>Boot loader performs low-level CPU initialization.</li><li>Boot loader initializes flash memory.</li><li>Boot loader locates and loads default IOS image.</li></ol>
Switch Forwarding Methods ,"Store & forward: Check for errors, if err drop frame, auto buffering for duplex mismatch. Cut-through: Ignore errors, less latency."
Switch Mode ,"Between Switch and Router/Switch, use trunk."
Switch Ports ,"For when assigned VLAN is deleted, go to VLAN deletion."
Switch Verification commands,"<b>show interfaces <interface></b>: disp. interface stat and config.<br><b>show startup-config</b>: disp. current startup config.<br><b>show interfaces <interface> switchport</b>: Display encapsulation type, voice VLAN ID, access mode VLAN, etc.<br><b>show running-config</b>: Display current running config.<br><b>show flash</b>: Display info about flash file sys.<br><b>show version</b>: Display sys. hardware and software stat.<br><b>show history</b>: disp. history of command entered.<br><b>show ip[v6] interface <interface id></b>: disp. IP info about an interface.<br><b>show mac address-table</b>: disp. MAC address table."
Switch Virtual Interface (SVI) Inter-VLAN Routing, An SVI needs to be created for each VLAN.
Switching ,"Uses CAM table which maps MAC addresses to ports (interface). When a frame is received,  switch checks Source MAC in CAM table, if not in CAM table, add MAC and port to table. Else, send to port in addr table. If dest. MAC is not in CAM table, broadcast to all ports except ingress port. Else, send to port in CAM table."
Switchport commands,Enter switchport mode <mode> first. <mode> can be access or trunk. <br>Access: switchport mode access     Trunk: switchport mode trunk<br>Allow VLANs on trunks: switchport trunk allowed vlan <vlan list> (NOTE: ONLY the VLANs listed will be allowed)
Telnet ,"Sends everything in plain text, including usernames & passwords. Use SSH instead as it's more secure."
Telnet Configuration ,REDIRECT:SSH/Telnet Configuration.
Telnet Port,TCP port 23
title,content
Transport Input ,"Specifies which connection (SSH/Telnet/both) to allow on vty lines. To configure, go to vty lines (line vty 0-15) then type transport input <all | ssh | telnet>"
Trunking ,"Trunk ports do not show in show vlan brief as they do not belong to a vlan. Trunk port sends/expects to receive tagged traffic.  | CFI | VID (2 bytes, 3 bits, 1 bit, 12 bits) Tag: |ethernet type(0X8100) | Pri | CFI | VID| (2 bytes, 3 bits, 1 bit, 12 bits)."
Trunking commands ,"In Interface config, turn on trunk mode: switchport mode trunk, set native vlan (if needed): switchport trunk native vlan <vlan id>, allow vlans on the trunk: switchport trunk allowed vlan <vlan list>"
Two-Tier topographly,"In a typical two-tier spine-leaf topology, every lower-tier switch, or the leaf layer, is connected to each of the top-tier switches, or the spine layer in a full-mesh topology.<br><br>However, the lower-tier switches are not connected to each other due to scalability issues in large networks. "
Types of Wireless Networks,"WPAN - Wireless Personal-Area Network, low powered transmitters, short range network, based on 802.15 standard and 2.4 GHz. WLAN - Wireless LAN, uses transmitters to cover medium sized network. Suitable for home, office and campus. Based on 802.11 standard, uses 2.4 or 5 GHz.  WMAN - Wireless Metropolitan Area Network, uses transmitters to cover a larger geographic area, suitable for cities / districts, use specific licensed frequencies. WWAN - Wireless Wide Area Networks, uses transmitters to cover an extensive geographic area, suitable for national and global comms, also use specific licensed frequencies."
Untagged frames ,Use native vlan (see VLAN types - native)
URI and URL,A URI is a string of characters that identifies a specific network resource while a URL defines the network location of a specific resource on the network.<img src='data/images/C328_URL_Breakdown.png'>
Verification Commands ,"show running-config - Shows currently running configuration. show ip interface - Shows IP configuration of interfaces. show vlan - Shows VLAN configuration. show interfaces trunk - Shows trunk configuration, along with native VLAN."
Violation modes,REDIRECT:Port Security Violation.
VLAN benefits ,"Smaller bcast domains, more security as devices can only comm. in same vlan, improved network efficiency & perf., cost reduction as no need to buy switches, simple project & app mgment. Separate functions makes specialised apps easier."
VLAN communication ,Devices can only communicate within the same vlan. e.g. broadcast cannot go from vlan 20 to vlan 30.
VLAN creation ,"In global config, enter vlan <vlan id>, then name <vlan-name>"
VLAN deletion ,"To delete only 1 vlan, in global config, enter no vlan <vlan id>. To delete all vlans, in exec mode, run delete flash:vlan.dat. Ports won't be disabled, but they will just stop communicating with the attached devices."
VLAN double-tagging attack,A VLAN Hopping Attack where the attacker embeds a hidden 802.1Q tag inside the frame that already has an 802.1Q tag. This allows the frame to go to a VLAn that the original 802.1Q tag did not specify.<br><br>The native and user VLANs being the same makes it vulnerable to VLAN double-tagging attacks.
VLAN tag field ,Type - Value for the tag protocol ID value. VLAN ID - VLAN number. User Priority - Value that supports level or service implementation. Canonical Format Identifier - Identifier that enables Token Ring frames to be carried across Ethernet links.
VLAN types ,"<b>Default</b> (vlan 1, default mgment vlan), <b>data</b> (separate network into groups of users or devices), <b>management</b> (for SSH, Telnet, HTTP(S), SNMP), <b>native</b> (default vlan 1, used for trunks, untagged across trunks, provide a common identifier across trunks), <b>voice</b> (for VoIP, delay < 150ms, priority)"
What is a function of the data plane of a network device?,Forwarding traffic flows
What is REST?,"Architecture style for designing web service applications. REST is not a protocol or service, but rather a style of software architecture for designing web service applications."
What is the function of the key contained in most RESTful APIs?,It is used to authenticate the requesting source.<br>Related questions:<i><ul><li>Function of key in REST APIs?</li></ul></i>
What is the most widely used API for web services?,REST
What mitigation plan is best for thwarting a DoS attack that is creating a MAC address table overflow?,Enable port security.
What pre-populates the FIB on Cisco devices that use CEF to process packets?,The Routing Table
Which cloud model provides services for a specific organization or entity?,A private cloud
Which component in a traditional infrastructure device provides Layer 2 and Layer 3 functions to create data paths within a network?,Control plane
Which feature provides secure access to MIB objects?,Community Strings
Which is a characteristic of a Type 1 hypervisor?,<b>Installed directly on a server?</b><br<<br><b>Explanation:</b> Type 1 hypervisors are installed directly on a server and are known as 'bare metal' solutions giving direct access to hardware resources. They also require a management console and are best suited for enterprise environments.?
Which Layer 2 attack will result in legitimate users not getting valid IP addresses?,DHCP Starvation
Which network traffic management technology is a basic element in SDN implementations?,OpenFlow
Which one of the following statements describes the behaviour of a switch when the MAC address/CAM table is full?,It treats all frames as unknown unicast and floods all incoming frames to all ports within the local VLAN.
Which statement describes the concept of cloud computing?,Separation of application from hardware
Which three Cisco products focus on endpoint security solutions? (Choose three.),"Web Security Appliance, Email Security Appliance, NAC Appliance."
Which two concepts is for switch ports to connect only end devices and not to another switch? ,"Edge Port, PortFast"
Which two layers of the OSI model are associated with SDN network control plane functions that make forwarding decisions?,"<b>Layer 2, Layer 3</b><br><br><b>Explanation:</b> The SDN control plane uses the Layer 2 ARP table and the Layer 3 routing table to make decisions about forwarding traffic."
Which type of Hypervisor is implemented when a user with a laptop running the Mac OS installs a Windows virtual OS instance?,"<b>Type 2</b><br><br><b>Explanation:</b> Type 2 hypervisors, also know as hosted hypervisors, are installed on top of an existing operating system, such as Mac OS, Windows, or Linux."
Which type of hypervisor would most likely be used in a data center?,<b>Type 1</b><br><br><b>Explanation:</b> The two type of hypervisors are Type 1 and Type 2. Type 1 hypervisors are usually used on enterprise servers. Enterprise servers rather than virtualized PCs are more likely to be in a data center.
Why Active Clients for IPv6 is 0 ,"The state is not maintained by the DHCPv6 server under stateless mode. When the command ipv6 nd other-config-flag is set, the DHCPv6 does not maintain state information. (Stateless)"
Why DHCPDISCOVER is broadcast ,Client doesn't have IP address yet to send unicast messages.
Why DHCPREQUEST is broadcast ,"Client may have received offers from multiple servers, broadcast is to decline those offers."
Why ISP assigns DHCP to Wireless Router in SOHO environment ,Easy IP address management
Windows failed to get IPv4 address ,Windows will automatically set the IP address to start with 168.254.
